iteration,_is_super,_lambda,_scale_factor,mfgw,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
0,0,0.1,1,1.66667,0.111111,0.311867,0.985537,0.922427,0.46541,0.3,1.8,0.2
0,0,0.1,0.75,1.46685,0.19245,0.417328,0.989133,0.941237,0.563478,0.40536,1.55401,0.29907
0,0,0.1,1.1,1.66667,0.111111,0.277566,0.984103,0.915009,0.431141,0.3,1.8,0.2
0,0,1,1,1.46338,0.693622,2.22222,0.999385,0.973869,0.904309,0.493474,1.8,0.2
0,0,1,0.75,1.33051,0.76005,1.82008,0.999538,0.980337,0.927337,0.588774,1.55401,0.29907
0,0,1,1.1,1.52017,0.668706,2.22222,0.999323,0.971294,0.895259,0.459824,1.8,0.2
0,0,10,1,1.03603,0.955091,1.47422,1.00047,0.996926,0.985454,0.901434,1.62566,0.44525
0,0,10,0.75,1.02691,0.966125,1.3379,1.00035,0.997693,0.989071,0.925125,1.4397,0.545071
0,0,10,1.1,1.03971,0.950712,1.53257,1.00051,0.996619,0.984011,0.892128,1.70661,0.410643
0,0,100,1,1.00381,0.996104,1.07903,1.00013,1.00008,0.99834,0.988234,1.02835,0.902485
0,0,100,0.75,1.00285,0.997077,1.05871,1.0001,1.00006,0.998755,0.991163,1.02118,0.925934
0,0,100,1.1,1.00419,0.995716,1.08727,1.00015,1.00009,0.998174,0.987065,1.03122,0.893272
0,0,1000,1,1.00052,1.00001,1.01964,1.00004,1.00018,0.999812,0.998639,0.990078,0.986331
0,0,1000,0.75,1.00039,1.00001,1.01469,1.00003,1.00013,0.999859,0.998979,0.992549,0.98973
0,0,1000,1.1,1.00057,1.00002,1.02162,1.00005,1.00019,0.999793,0.998502,0.989092,0.984974
1,0,0.1,1,1.66667,0.111111,2.22222,0.837493,0.552899,0.507104,0.3,1.8,0.2
1,0,0.1,0.75,1.47988,0.190252,2.00554,0.875561,0.640693,0.598731,0.394979,1.75474,0.2443
1,0,0.1,1.1,1.66667,0.111111,2.22222,0.822733,0.521248,0.474508,0.3,1.8,0.2
1,0,1,1,1.3863,0.504151,2.22222,0.970839,0.930632,0.861392,0.455876,1.8,0.2
1,0,1,0.75,1.28894,0.591468,2.00554,0.978162,0.94678,0.890861,0.540591,1.75474,0.2443
1,0,1,1.1,1.42727,0.472946,2.22222,0.967925,0.924251,0.849879,0.425832,1.8,0.2
1,0,10,1,1.06734,0.891778,1.81065,0.997131,0.990805,0.969395,0.831246,1.8,0.330864
1,0,10,0.75,1.05941,0.907201,1.71995,0.997964,0.992331,0.973385,0.848263,1.75474,0.356359
1,0,10,1.1,1.07052,0.885682,1.84826,0.996798,0.990195,0.967803,0.824535,1.8,0.321184
1,0,100,1,1.0394,0.949473,1.55826,1.00019,0.996867,0.983723,0.893721,1.57838,0.430685
1,0,100,0.75,1.03855,0.950874,1.53681,1.00026,0.996881,0.984156,0.895643,1.59007,0.434281
1,0,100,1.1,1.03974,0.948913,1.56692,1.00016,0.996861,0.98355,0.892954,1.57373,0.429255
1,0,1000,1,1.03647,0.95496,1.50476,1.00046,0.997162,0.985248,0.900534,1.5923,0.443213
1,0,1000,0.75,1.03635,0.954993,1.49706,1.00046,0.997103,0.985299,0.900759,1.60057,0.443722
1,0,1000,1.1,1.03652,0.954947,1.50784,1.00046,0.997185,0.985227,0.900444,1.589,0.44301
2,0,0.01,1,1.66667,0.111111,0.298212,0.498952,0.111111,0.59843,0.3,0.644827,0.2
2,0,0.01,0.75,1.61787,0.127101,0.480232,0.574269,0.172179,0.598505,0.321355,0.8282,0.210258
2,0,0.01,1.1,1.66667,0.111111,0.246464,0.471668,0.111111,0.5984,0.3,0.5834,0.2
2,0,0.1,1,1.66667,0.111111,2.22222,0.797831,0.29585,0.321265,0.3,1.8,0.2
2,0,0.1,0.75,1.61787,0.127101,2.16595,0.816591,0.358894,0.375366,0.321355,1.78858,0.210258
2,0,0.1,1.1,1.66667,0.111111,2.22222,0.790448,0.273851,0.301874,0.3,1.8,0.2
2,0,1,1,1.66667,0.111111,2.22222,0.868206,0.593579,0.551639,0.3,1.8,0.2
2,0,1,0.75,1.61787,0.127101,2.16595,0.870039,0.605022,0.563053,0.321355,1.78858,0.210258
2,0,1,1.1,1.66667,0.111111,2.22222,0.867474,0.589062,0.547139,0.3,1.8,0.2
2,0,10,1,1.52504,0.179681,2.01105,0.874747,0.635368,0.593665,0.382894,1.8,0.215285
2,0,10,0.75,1.51363,0.182267,2.00967,0.874951,0.636695,0.594927,0.38588,1.78858,0.222198
2,0,10,1.1,1.52963,0.178657,2.0116,0.874666,0.634838,0.59316,0.381706,1.8,0.21258
2,0,100,1,1.48379,0.189045,1.93298,0.875393,0.639704,0.598252,0.393811,1.8,0.241594
2,0,100,0.75,1.48281,0.189346,1.95087,0.875435,0.639951,0.598372,0.394103,1.78858,0.242268
2,0,100,1.1,1.48417,0.188925,1.92587,0.875377,0.639605,0.598204,0.393694,1.8,0.241325
2,0,1000,1,1.48009,0.190089,1.97253,0.875514,0.640436,0.598694,0.394884,1.7914,0.244162
2,0,1000,0.75,1.48004,0.19013,1.98073,0.875526,0.6405,0.598704,0.394908,1.78217,0.244196
2,0,1000,1.1,1.48011,0.190073,1.96926,0.875509,0.64041,0.598691,0.394874,1.79511,0.244148
3,0,0.01,1,1.66667,0.111111,0.254442,1.02439,0.111111,0.3,0.3,0.543968,0.2
3,0,0.01,0.75,1.61905,0.126879,0.422035,0.984912,0.172106,0.356495,0.321093,0.733666,0.209615
3,0,0.01,1.1,1.66667,0.111111,0.207819,1.04062,0.111111,0.3,0.3,0.482618,0.2
3,0,0.1,1,1.66667,0.111111,1.35984,0.87541,0.309717,0.325726,0.3,1.8,0.2
3,0,0.1,0.75,1.61905,0.126879,1.48345,0.875401,0.37128,0.379185,0.321093,1.8,0.209615
3,0,0.1,1.1,1.66667,0.111111,1.31333,0.875413,0.288052,0.306515,0.3,1.8,0.2
3,0,1,1,1.66667,0.111111,1.76731,0.875656,0.59046,0.552426,0.3,1.8,0.2
3,0,1,0.75,1.61905,0.126879,1.80568,0.875586,0.60238,0.563531,0.321093,1.8,0.209615
3,0,1,1.1,1.66667,0.111111,1.75219,0.875684,0.585758,0.548045,0.3,1.8,0.2
3,0,10,1,1.54279,0.17785,1.84171,0.875324,0.634025,0.593324,0.381208,1.8,0.212471
3,0,10,0.75,1.52793,0.180557,1.8624,0.875337,0.635415,0.59454,0.384292,1.8,0.219344
3,0,10,1.1,1.54877,0.176779,1.8335,0.875319,0.63347,0.592838,0.379982,1.8,0.209782
3,0,100,1,1.48949,0.187699,1.86862,0.875309,0.638729,0.597728,0.392463,1.8,0.238508
3,0,100,0.75,1.48816,0.188005,1.88277,0.875326,0.638948,0.597847,0.392771,1.8,0.239209
3,0,100,1.1,1.49002,0.187577,1.86299,0.875302,0.638641,0.597681,0.39234,1.8,0.238228
3,0,1000,1,1.48463,0.188784,1.90986,0.875357,0.639452,0.598159,0.393579,1.8,0.241094
3,0,1000,0.75,1.48452,0.188819,1.91385,0.875362,0.63949,0.59817,0.393608,1.8,0.241152
3,0,1000,1.1,1.48467,0.18877,1.90827,0.875355,0.639436,0.598155,0.393567,1.8,0.241071
4,0,0.01,1,1.66667,0.111111,0.180568,0.878316,0.111111,0.3,0.3,0.326654,0.2
4,0,0.01,0.75,1.65462,0.114859,0.321101,0.877633,0.169545,0.351213,0.30514,0.500477,0.202362
4,0,0.01,1.1,1.66667,0.111111,0.143431,0.87859,0.111111,0.3,0.3,0.275404,0.2
4,0,0.1,1,1.66667,0.111111,1.41324,0.871765,0.286244,0.3,0.3,1.8,0.2
4,0,0.1,0.75,1.65462,0.114859,1.50252,0.872719,0.344762,0.351213,0.30514,1.8,0.202362
4,0,0.1,1.1,1.66667,0.111111,1.37902,0.871384,0.265719,0.3,0.3,1.8,0.2
4,0,1,1,1.66667,0.111111,1.77566,0.876742,0.555976,0.511169,0.3,1.8,0.2
4,0,1,0.75,1.65462,0.114859,1.78312,0.876453,0.56723,0.523784,0.30514,1.8,0.202362
4,0,1,1.1,1.66667,0.111111,1.77269,0.876858,0.551537,0.506208,0.3,1.8,0.2
4,0,10,1,1.66667,0.120025,1.83523,0.875769,0.597739,0.557857,0.310507,1.8,0.2
4,0,10,0.75,1.65462,0.121703,1.8278,0.875723,0.598896,0.55927,0.313121,1.8,0.202362
4,0,10,1.1,1.66667,0.11936,1.83821,0.875787,0.597276,0.557293,0.309468,1.8,0.2
4,0,100,1,1.62552,0.126195,1.82658,0.875628,0.602028,0.562951,0.320003,1.79268,0.206977
4,0,100,0.75,1.62389,0.126366,1.82134,0.875618,0.602116,0.563096,0.320275,1.79451,0.207634
4,0,100,1.1,1.62618,0.126127,1.82869,0.875633,0.601993,0.562894,0.319894,1.79195,0.206715
4,0,1000,1,1.6197,0.126816,1.81236,0.875596,0.602375,0.563471,0.32098,1.79395,0.209331
4,0,1000,0.75,1.61952,0.126832,1.81069,0.875594,0.602376,0.563486,0.321009,1.79546,0.209402
4,0,1000,1.1,1.61977,0.126809,1.81303,0.875597,0.602374,0.563465,0.320969,1.79334,0.209303
