obs_id,x,y,head_obs,weight
w_1A_PLANTEL_SN_JUAN,265134.2561,2357511.741,0.25,1
w_1B_SAN_EDUARDO,263783.7281,2349649.333,0.515,1
w_1C_QUINTA_ROSARIO,263623.8627,2343030.648,0.74,1
w_2A_DZILAM_BRAVO,302925.3018,2361985.296,0.27,1
w_2B_DZILAM_GLEZ,300492.6609,2355912.776,0.99,1
w_2C_SAN_GREGORIO,299247.4636,2347197.193,1.645,1
w_3A_SAN_FELIPE,370350.41,2381750.221,1.4,1
w_3B_SANTA_PILAR,370175.3123,2373654.487,2.055,1
w_3C_SAN_ISIDRO,370151.7046,2365053.13,2.28,1
w_4A_LA_CURVA,426920.0209,2375796.981,1.82,1
w_4B_MOCTEZUMA,426286.8035,2367551.885,3.98,1
w_4C_VISTA_HERMOSA,420648.7584,2357174.9,5.25,1
ASM_01,227927.8616,2320879.542,1.39,1
ASM_02,226765.1429,2329441.836,0.98,1
ASM_03,226534.152,2331199.799,1.01,1
ASM_04,226328.5748,2332741.976,0.75,1
ASM_05,223406.1872,2335898.906,0.53,1
ASM_06,218776.6313,2335392.388,0.48,1
ASM_07,216340.4605,2338173.243,0.47,1
ASM_08,206604.5033,2347700.732,0.36,1
ASM_09,207848.5492,2352726.628,0.31,1
ASM_10,215523.5531,2354376.786,0.2,1
ASM_11,223976.7179,2356109.476,0.28,1
ASM_12,223487.539,2347623.422,0.21,1
ASM_13,225698.9194,2340046.199,0.61,1
ASM_14,228597.9723,2339013.406,0.64,1
ASM_15,232343.9431,2334982.373,0.68,1
ASM_16,237735.7233,2332618.694,0.75,1
ASM_17,238735.9753,2339249.75,0.33,1
ASM_18,233739.6814,2349854.388,0.39,1
ASM_19,232603.6383,2352734.968,0.345,1
ASM_20,226982.408,2356459.131,0.62,1
ASM_22,234276.5271,2324026.643,1.68,1
ASM_23,235609.9302,2320651.104,2.02,1
ASM_24,233992.0064,2317076.444,1.87,1
ASM_25,240078.5669,2310641.501,2.46,1
ASM_27,244622.8067,2303309.633,2.525,1
ASM_28,238459.2402,2303250.737,1.69,1
ASM_30,231560.5664,2309699.081,2.33,1
ASM_32,223067.8639,2305128.947,2.36,1
ASM_33,223865.5669,2309639.68,2.28,1
ASM_34,223803.7534,2311148.672,2.07,1
ASM_35,220713.3961,2311415.411,2.04,1
ASM_36,218241.6749,2312349.473,2.02,1
ASM_37,209763.0358,2313787.386,2.01,1
ASM_40,215037.4825,2327915.769,1.22,1
ASM_41,218680.6817,2326345.5,1.28,1
ASM_42,216985.6871,2332006.569,0.44,1
ASM_43,217673.5775,2333379.807,0.27,1
ASM_44,219606.6586,2321282.404,1.63,1
ASM_45,222198.1203,2317207.27,1.7,1
ASM_46,230390.5451,2317842.13,1.92,1
ASO_1,188301.747,2279885.185,-0.575,1
ASO_10,200853.01,2270116.031,2.09,1
ASO_12,205741.0597,2273283.303,2.29,1
ASO_13,206419.5462,2272887.216,2.1,1
ASO_14,208625.2177,2262469.607,1.79,1
ASO_15,205693.5606,2257243.824,1.58,1
ASO_16,206857.3131,2256653.612,1.45,1
ASO_17,207061.9853,2260168.638,1.655,1
ASO_18,205861.7111,2269916.287,1.9,1
ASO_19,209810.2239,2258905.528,2.16,1
ASO_2,186234.4941,2272397.349,0.53,1
ASO_21,213490.9013,2252858.359,1.93,1
ASO_22,216263.9695,2277328.579,0.015,1
ASO_23,218342.2661,2272684.539,0.91,1
ASO_3,191597.4346,2279231.539,-0.86,1
ASO_37,199708.1027,2269471.987,-0.185,1
ASO_38,200667.7516,2267971.532,0.3,1
ASO_39,195802.496,2273259.479,-0.13,1
ASO_4,194489.2588,2274836.259,1.23,1
ASO_5,199154.2066,2267255.744,1.615,1
ASO_6,196205.9748,2277029.484,0.83,1
ASO_7,191864.8695,2269249.346,0.32,1
ASO_8,198895.9316,2281398.55,0.82,1
ASO_9,202121.5371,2275072.951,1.26,1
B1_BACA,250829.8728,2335068.723,0.38,1
B2_MOTUL,262445.865,2335869.923,0.59,1
B3_SACAPUC,255142.137,2342351.881,0,1
B4_TIMUL,251441.4529,2345367.38,0.01,1
CONAGUA,223823.5235,2322637.417,1.78,1
CU01,223637.4297,2313336.441,1.19,1
CU02,224214.507,2318497.181,1.04,1
CU03,232047.8447,2318430.8,1.1,1
CU04,227502.5341,2319797.118,1.05,1
CU05,231497.6664,2320163.035,1.08,1
CU06,216287.5238,2321584.992,0.98,1
CU07,220776.6712,2323817.208,1.12,1
CU08,224585.74,2325200.013,1.04,1
CU09,227424.578,2325614.822,1.07,1
CU10,230472.3198,2324672.667,1.03,1
CU11,215669.3149,2327689.528,0.9,1
CU12,218747.3436,2331976.538,0.87,1
CU13,232924.9733,2331618.599,1.11,1
CU14,238354.6627,2335224.554,0.91,1
CU15,216657.9711,2338167.788,0.52,1
CU16,212809.2133,2339373.164,0.45,1
CU17,220582.2501,2341393.992,0.33,1
CU18,209761.1331,2313797.724,0.69,1
CU19,209761.1331,2313797.724,0.62,1
CU20,209761.1331,2313797.724,0.21,1
MI1_SIGLO_XX1,244637.8056,2334822.398,1.56,1
MI2_THO_O,245361.6092,2340027.127,1.18,1
MI3_HACIENDA_X_LUCH,245598.5214,2344585.363,0.74,1
MP1_FIUADY,225168.8795,2329871.297,0.595,1
MP2_KOMCHEN,225852.5633,2336086.247,0.59,1
MP3_PREDECO,225152.954,2344874.815,0.12,1
MP4_CONTENEDORES,224192.5354,2350249.387,0.055,1
OBSERVATORIO,224181.0016,2318478.79,1.325,1
P1_CELEST_N,158624.1459,2309350.485,0.53,1
P2_CHUNCHUCMIL,164923.985,2286069.152,0.62,1
P3_AMARIS_II,176625.2794,2310724.94,1.02,1
P4_NOHUAYUN,191286.2719,2322218.139,0.595,1
P5_SISAL,188405.4078,2338434.379,0.38,1
P6_TAMCHEN,194955.7571,2311154.759,1.95,1
RM_10_SAGARPA,230459.677,2324656.476,1.055,1
RM_16_RANCHO,213592.8511,2339115.991,0.455,1
RM_17_DZIDZILCHE,220629.253,2341425.991,0.56,1
RM_19_CRIO,236296.4502,2343980.284,0.6,1
RM_20_BAAG,235197.0836,2349086.436,0.295,1
RM01_DEPORTIVO_SUR,223643.0868,2313338.563,1.645,1
RM02_OBERVATORIO,224214.507,2318497.181,1.4,1
RM03_ACUAPARQUE,232034.7505,2318438.433,1.7,1
RM04_BOMBEROS,192813.5549,2320415.953,1.35,1
RM05_PORTES_GIL,231492.5844,2320170.54,1.295,1
RM06_CHALMUCH,216274.7464,2321580.224,1.145,1
RM07_ANICABIL,220785.8577,2323800.434,1.43,1
RM08_CHENKU,224573.1838,2325195.678,1.275,1
RM09_TECNOLOGICO,227437.2726,2325634.002,1.1,1
RM11UCU,215678.4614,2327719.398,1.12,1
RM12CHEUMAN,218798.1289,2331984.65,1.33,1
RM13TIXCUYTUN,232927.4588,2331630.856,1.42,1
RM14MEGALITA,238348.8424,2335224.646,1.32,1
RM15SIERRA_PAPACAL,216696.0836,2338201.703,0.675,1
RM18_SAC_NICTE,231623.2825,2340055.166,0.95,1